1,"A","Agilent Technologies Inc.","Healthcare","Medical Laboratories & Research","USA",15849.30,15.95,45.85,-0.20%,326679
2,"AA","Alcoa, Inc.","Basic Materials","Aluminum","USA",8555.85,80.00,7.98,-0.25%,2985424
3,"AAIT","iShares MSCI AC Asia Information Tech","Financial","Exchange Traded Fund","USA",,,27.76,0.62%,0
4,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",81.34,25.60,3.75,-2.34%,650
5,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",2198.09,15.57,28.58,-1.31%,36481
6,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",851.73,28.60,23.14,-0.13%,31047
7,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",6105.11,16.45,82.77,-0.77%,119051
8,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",431245.23,11.72,469.10,-0.07%,3237199
9,"AAT","American Assets Trust, Inc.","Financial","REIT - Office","USA",1295.47,,32.85,0.06%,7950
10,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",104.15,,1.73,-0.57%,40088
11,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",604.49,,3.55,-1.11%,73842
12,"AAVX","UBS E-TRACS Dly Sh 1Mo S&P500 VIX Fu ETN","Financial","Exchange Traded Fund","USA",,,,,0
13,"AAWW","Atlas Air Worldwide Holdings Inc.","Services","Air Services, Other","USA",1125.27,9.16,43.81,0.02%,13479
14,"AAXJ","iShares MSCI All Country Asia ex Jpn Idx","Financial","Exchange Traded Fund","USA",1905.98,,56.27,-0.21%,214279
15,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2332.53,28.54,22.89,-0.99%,27762
16,"ABAX","Abaxis Inc.","Healthcare","Diagnostic Substances","USA",897.38,32.56,40.32,-0.12%,90004
17,"ABB","ABB Ltd.","Industrial Goods","Industrial Equipment & Components","Switzerland",51039.34,18.21,22.29,0.32%,335578
18,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - Major","USA",71938.39,13.76,44.68,-0.07%,689645
19,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",13636.05,23.33,58.59,-0.75%,155796
20,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",464.21,29.91,19.31,-0.67%,1600
21,"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",60.67,,1.28,0.00%,0
22,"ABCO","Advisory Board Co.","Services","Business Services","USA",2089.86,97.59,59.80,0.45%,16279
23,"ABCS","Guggenheim ABC High Dividend","Financial","Exchange Traded Fund","USA",,,,,0
24,"ABCW","Anchor BanCorp Wisconsin, Inc.","Financial","Savings & Loans","USA",9.32,,0.43,-1.16%,720
25,"ABFS","Arkansas Best Corporation","Services","Trucking","USA",572.50,72.03,21.31,-4.57%,72396
26,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",1555.40,16.56,50.66,0.32%,54933
27,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",4.25,,1.40,0.00%,42643
28,"ABM","ABM Industries Inc.","Services","Business Services","USA",1431.08,19.82,25.93,-0.88%,12157
29,"ABMC","American Bio Medica Corp.","Healthcare","Diagnostic Substances","USA",3.04,,0.14,0.00%,0
30,"ABMD","Abiomed Inc.","Healthcare","Medical Appliances & Equipment","USA",875.67,90.56,22.27,-1.63%,69503
31,"ABR","Arbor Realty Trust Inc.","Financial","REIT - Diversified","USA",253.29,9.26,7.58,1.07%,23621
32,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",57481.65,68.77,36.22,-0.63%,1239929
33,"ABTL","Autobytel Inc.","Technology","Internet Information Providers","USA",49.95,35.25,5.75,1.93%,32504
34,"ABV","Companhia de Bebidas Das Americas (AMBEV)","Consumer Goods","Beverages - Brewers","Brazil",117342.53,25.69,37.29,-0.59%,478906
35,"ABX","Barrick Gold Corporation","Basic Materials","Gold","Canada",16406.39,,15.82,-3.48%,3759744
36,"ACAD","ACADIA Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1700.17,,20.80,-3.66%,867710
37,"ACAS","American Capital, Ltd.","Financial","Asset Management","USA",3909.15,6.14,13.05,-0.68%,452063
38,"ACAT","Arctic Cat Inc.","Consumer Goods","Recreational Vehicles","USA",766.07,18.58,56.56,-2.43%,23739
39,"ACC","American Campus Communities Inc.","Financial","REIT - Residential","USA",3994.18,82.87,38.00,-0.31%,82898
40,"ACCL","Accelrys Inc.","Technology","Application Software","USA",513.62,83.82,9.16,-0.65%,10038
41,"ACCO","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",759.11,5.36,6.68,-0.30%,93996
42,"ACCU","Accuvest Global Opportunities ETF","Financial","Exchange Traded Fund","USA",,,26.78,0.00%,0
43,"ACE","ACE Limited","Financial","Property & Casualty Insurance","Switzerland",31021.63,9.63,89.98,-1.08%,306960
44,"ACET","Aceto Corp.","Basic Materials","Chemicals - Major Diversified","USA",436.17,20.90,16.01,-0.50%,30153
45,"ACFC","Atlantic Coast Financial Corporation","Financial","Regional - Southeast Banks","USA",11.59,,4.67,0.86%,200
46,"ACFN","Acorn Energy, Inc.","Services","Technical Services","USA",145.88,,7.80,-3.35%,36338
47,"ACG","AllianceBernstein Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",1724.68,7.32,7.08,-0.30%,199906
48,"ACGL","Arch Capital Group Ltd.","Financial","Property & Casualty Insurance","Bermuda",7110.12,12.11,53.95,-0.31%,46074
49,"ACH","Aluminum Corporation Of China Limited","Basic Materials","Aluminum","China",4446.18,,7.85,-1.63%,2119
50,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Specialized Health Services","USA",1904.84,65.67,37.86,-0.60%,19773
51,"ACHN","Achillion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",612.11,,7.10,-0.42%,96614
52,"ACI","Arch Coal Inc.","Basic Materials","Industrial Metals & Minerals","USA",837.72,,3.99,1.01%,1258925
53,"ACIM","SPDR MSCI ACWI IMI","Financial","Exchange Traded Fund","USA",,,56.53,0.21%,0
54,"ACIW","ACI Worldwide, Inc.","Technology","Technical & System Software","USA",1952.73,40.89,49.23,-0.51%,9532
55,"ACLS","Axcelis Technologies Inc.","Technology","Semiconductor Equipment & Materials","USA",217.90,,1.97,-1.99%,86976
56,"ACM","AECOM Technology Corporation","Services","Technical Services","USA",3535.14,,31.29,-11.11%,558491
57,"ACMP","Access Midstream Partners, L.P.","Basic Materials","Oil & Gas Refining & Marketing","USA",8475.12,41.46,47.56,-0.24%,4517
58,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",48295.97,15.50,74.12,-0.15%,654098
59,"ACNB","ACNB Corp.","Financial","Regional - Southwest  Banks","USA",100.83,11.12,16.91,0.06%,300
60,"ACO","Amcol International Corp.","Basic Materials","Industrial Metals & Minerals","USA",1114.88,19.55,33.69,-2.09%,13689
61,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",1467.73,10.29,36.71,-0.05%,34087
62,"ACPW","Active Power Inc.","Industrial Goods","Diversified Machinery","USA",70.94,,3.63,-1.63%,3203
63,"ACRE","Ares Commercial Real Estate Corporation","Financial","REIT - Diversified","USA",121.24,16.45,13.06,-0.76%,35257
64,"ACRX","AcelRx Pharmaceuticals, Inc.","Conglomerates","Conglomerates","USA",444.11,,11.82,-1.17%,57731
65,"ACST","Acasti Pharma Inc.","Healthcare","Biotechnology","Canada",325.40,,4.00,-1.72%,18443
66,"ACT","Actavis, Inc.","Healthcare","Drugs - Generic","USA",18091.57,,136.19,-0.48%,128898
67,"ACTG","Acacia Research Corporation","Services","Research Services","USA",1078.76,,22.42,-0.22%,85370
68,"ACTS","Actions Semiconductor Co., Ltd.","Technology","Semiconductor - Specialized","China",190.02,,2.76,-0.72%,4800
69,"ACTV","The Active Network, Inc.","Technology","Application Software","USA",686.63,,10.71,-5.22%,198285
70,"ACU","Acme United Corp.","Consumer Goods","Housewares & Accessories","USA",43.68,11.93,13.50,-2.46%,972
71,"ACUR","Acura Pharmaceuticals Inc.","Healthcare","Drug Delivery","USA",88.32,,1.88,0.53%,58960
72,"ACW","Accuride Corp.","Consumer Goods","Trucks & Other Vehicles","USA",266.21,,5.56,-0.89%,42832
73,"ACWI","iShares MSCI ACWI Index","Financial","Exchange Traded Fund","USA",,,52.95,-0.28%,411168
74,"ACWX","iShares MSCI ACWI ex US Index","Financial","Exchange Traded Fund","USA",,,43.14,-0.25%,78911
75,"ACXM","Acxiom Corporation","Technology","Information Technology Services","USA",1914.92,34.20,25.75,-0.92%,35328
76,"ACY","AeroCentury Corp.","Services","Rental & Leasing Services","USA",34.18,4.41,22.25,0.45%,140
77,"ADAT","Authentidate Holding Corp.","Technology","Healthcare Information Services","USA",23.55,,0.90,3.33%,220
78,"ADBE","Adobe Systems Inc.","Technology","Application Software","USA",23976.18,42.53,47.73,0.21%,286142
79,"ADC","Agree Realty Corp.","Financial","Property Management","USA",378.25,21.26,29.15,0.07%,13854
